latitude,longitude,acq_date
-13.25196,-67.55733,2024-10-02
-12.70444,-65.70832,2024-10-01
-23.9164,149.20895,2024-10-03
-14.92848,-64.02385,2024-10-02
-16.05742,144.31294,2024-10-01
-21.56644,-47.805,2024-10-01
-14.54595,-62.506,2024-10-03
-17.46291,37.0957,2024-10-01
35.97323,43.77358,2024-09-30
-18.39979,33.31924,2024-10-01
-14.88599,-63.20701,2024-10-01
-15.40156,-64.02056,2024-10-02
-20.22787,134.45239,2024-10-03
32.99411,46.18862,2024-10-02
53.30616,116.39545,2024-10-01
-28.11768,-58.62096,2024-09-30
-9.02984,14.45628,2024-10-02
-30.16875,-61.29248,2024-09-30
-10.25556,-68.77039,2024-10-03
-12.88752,136.36156,2024-09-30
-14.605,-62.43825,2024-10-01
-10.31579,39.21111,2024-10-01
-14.683,-62.52956,2024-10-02
-14.84597,-58.19254,2024-10-01
-14.61596,-62.4105,2024-10-01
-19.2726,-43.76723,2024-10-03
-8.96945,16.10633,2024-09-30
-11.22168,24.54149,2024-09-30
-6.80944,13.10073,2024-10-02
-16.4476,-57.43547,2024-10-02
35.68724,43.87106,2024-10-02
-30.12763,-58.56616,2024-09-30
-15.25621,145.27214,2024-10-01
-14.50901,143.63962,2024-09-30
-16.23285,36.23693,2024-09-30
-24.27642,-59.7021,2024-10-01
-14.66516,-63.4661,2024-10-02
27.49877,52.64711,2024-09-30
-14.91142,-62.80542,2024-10-02
32.22841,-101.75423,2024-09-30
-9.19186,-58.18362,2024-10-02
-13.5172,-64.07018,2024-10-01
-10.65627,36.38094,2024-10-01
-10.035,-68.91966,2024-10-02
-16.50115,35.98695,2024-10-01
-11.98897,38.6194,2024-10-01
59.7615,71.74693,2024-10-01
-14.363,-62.9694,2024-10-01
-14.78274,-61.83146,2024-10-02
-12.35099,-66.32003,2024-09-30
-17.00705,37.60632,2024-09-30
-13.75766,35.82565,2024-09-30
-16.80159,-55.78679,2024-10-02
-24.54184,28.01513,2024-09-30
-17.44041,21.16518,2024-10-02
-21.5802,-47.80824,2024-10-01
43.60505,-110.00777,2024-09-30
-15.99167,18.02836,2024-10-02
-14.71283,39.39393,2024-09-30
-15.77312,-62.45059,2024-10-01
2.98981,-52.37055,2024-10-02
-9.11561,-67.88873,2024-10-01
-12.61401,-65.81928,2024-10-02
-16.6735,30.4983,2024-10-02
53.42601,59.06583,2024-10-01
-24.69889,46.15325,2024-10-01
-14.54848,-63.03474,2024-10-01
-13.02552,16.44335,2024-10-01
-24.50207,46.30299,2024-09-30
-6.23049,18.26774,2024-10-01
-14.48125,-65.80261,2024-10-03
41.82202,88.90377,2024-10-03
-16.58192,136.76039,2024-10-01
-12.89404,-62.50289,2024-10-03
-23.98964,27.98215,2024-09-30
-10.65823,-68.94303,2024-10-01
-14.20536,136.62201,2024-10-03
-14.84211,132.23103,2024-10-01
-14.35171,132.98033,2024-10-03
65.76853,24.19097,2024-09-30
