latitude,longitude,date,T2M,T2M_MAX,T2M_MIN,RH2M,PW,PS,TOA_SW_DNI,GWETROOT,QV10M,TOA_SW_DWN,QV2M,WS10M,WS10M_MAX,Z0M,GWETPROF,WS10M_MIN,SNODP,PRECTOTCORR,wild_fire_occurred
-8.99245,-49.82733,20240519,28.29,34.74,22.69,65.5,2.99,98.96,15.97,0.59,14.47,8.66,15.26,1.38,2.01,3.08,0.66,0.64,0.0,0.02,1
-8.99245,-49.82733,20240520,28.26,33.96,22.64,65.5,3.61,98.95,15.96,0.59,14.89,8.63,15.56,1.24,1.72,3.08,0.66,0.58,0.0,0.0,1
38.06067,22.56466,20240518,21.62,29.1,16.65,56.56,2.61,94.73,19.97,0.43,8.91,11.15,9.34,1.33,3.29,0.06,0.43,0.48,0.0,0.04,1
38.06067,22.56466,20240519,22.38,30.13,15.11,58.75,2.39,94.42,19.96,0.43,9.46,11.18,9.77,1.66,2.88,0.06,0.43,0.49,0.0,0.0,1
38.06067,22.56466,20240520,23.17,31.17,16.23,57.56,2.56,94.45,19.95,0.42,9.77,11.21,10.07,1.45,3.06,0.06,0.42,0.12,0.0,0.0,1
53.44749,48.05568,20240518,10.56,14.31,6.73,79.5,1.53,99.55,21.3,0.77,6.04,10.7,6.23,4.62,6.41,0.06,0.79,2.59,0.0,0.57,1
53.44749,48.05568,20240519,10.63,15.87,4.63,70.31,0.9,99.79,21.29,0.76,5.13,10.75,5.43,3.88,5.5,0.06,0.79,2.43,0.0,0.0,1
53.44749,48.05568,20240520,12.79,19.59,4.18,63.69,0.92,99.77,21.28,0.76,5.07,10.8,5.62,2.14,3.64,0.06,0.78,0.88,0.0,0.0,1
-15.26909,20.75367,20240518,20.3,29.82,12.23,31.31,0.88,88.81,14.65,0.24,4.76,7.83,4.88,4.21,6.48,0.09,0.25,3.12,0.0,0.0,1
-15.26909,20.75367,20240519,20.19,30.58,11.15,24.0,0.8,88.79,14.64,0.24,3.54,7.8,3.66,4.31,6.37,0.09,0.25,3.08,0.0,0.0,1
-15.26909,20.75367,20240520,20.28,30.06,11.85,29.0,0.99,88.83,14.63,0.24,4.27,7.77,4.33,4.61,6.96,0.09,0.25,3.15,0.0,0.0,1
45.375,30.92885,20240518,14.09,14.26,13.98,81.06,1.77,102.01,19.97,0.47,7.75,11.0,8.0,3.27,4.36,0.0,0.55,0.98,0.0,0.25,1
45.375,30.92885,20240519,14.46,14.65,14.27,79.81,1.71,101.85,21.29,0.47,7.87,11.04,8.06,3.09,3.98,0.0,0.55,2.08,0.0,0.0,1
45.375,30.92885,20240520,16.01,16.88,14.82,74.88,1.71,101.82,21.28,0.47,7.81,11.08,8.36,2.57,4.16,0.0,0.55,0.56,0.0,0.0,1
-13.20595,-67.54256,20240518,25.41,29.71,22.1,88.19,4.18,99.24,14.65,0.67,17.7,8.08,18.01,1.0,1.5,3.31,0.7,0.48,0.0,0.03,1
-13.20595,-67.54256,20240519,25.34,29.2,21.89,86.75,4.25,99.32,14.64,0.66,17.4,8.05,17.7,1.17,1.75,3.31,0.7,0.65,0.0,0.06,1
